time,value
11:15:05,64
11:15:20,63
11:15:35,63
11:15:50,65
11:16:05,65
11:18:33,68
11:18:38,68
11:18:43,67
11:18:48,67
11:18:53,67
11:18:58,68
11:19:03,68
11:19:08,69
11:19:13,68
11:19:18,67
11:19:33,67
11:19:38,66
11:19:43,67
11:19:53,67
11:19:58,67
11:20:03,68
11:20:18,68
11:20:33,68
11:20:38,68
11:20:43,68
11:20:53,67
11:20:58,68
11:21:03,68
11:21:08,69
11:21:13,69
11:21:28,69
11:21:30,69
11:21:35,70
11:21:40,69
11:21:45,63
11:21:50,62
11:22:05,63
11:22:10,62
11:22:15,65
11:22:20,66
11:22:25,67
11:22:30,66
11:22:40,67
11:22:50,68
11:22:55,70
11:23:05,68
11:23:20,68
11:23:25,71
11:23:30,72
11:23:35,73
11:23:40,75
11:23:45,76
11:23:55,75
11:24:10,75
11:24:25,75
11:24:35,75
11:24:40,72
11:24:47,69
11:24:52,72
11:24:57,71
11:25:02,70
11:25:07,70
11:25:12,71
11:25:17,72
11:25:22,74
11:25:27,76
11:25:32,76
11:25:37,78
11:25:47,70
11:25:52,68
11:25:57,65
11:26:02,65
11:26:12,66
11:26:17,67
11:26:22,67
11:26:27,68
11:26:32,68
11:26:42,69
11:26:52,69
11:26:57,69
11:27:02,68
11:27:07,70
11:27:12,71
11:27:17,70
11:27:23,68
11:27:38,68
11:27:43,68
11:27:53,67
11:27:58,67
11:28:13,67
11:28:18,74
11:28:23,72
11:28:28,69
11:28:38,68
11:28:43,67
11:28:48,67
11:28:53,67
11:28:58,68
11:29:03,67
11:29:08,66
11:29:18,68
11:29:23,66
11:29:33,66
11:29:43,65
11:29:58,65
11:30:25,67
11:30:40,66
11:30:45,67
11:30:55,66
11:31:00,67
11:31:05,68
11:31:10,69
11:31:15,69
11:31:20,68
11:31:25,67
11:31:35,66
11:31:45,66
11:32:00,66
11:32:05,67
11:32:10,68
11:32:15,68
11:32:30,68
11:32:40,68
11:32:45,68
11:33:00,68
11:33:10,69
11:33:25,69
11:33:40,69
11:33:45,70
11:33:50,68
11:33:57,69
